TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170226115932,3602,81,81,28,39.62,31,28
20170226115933,3593,80,81,28,40.32,31,28
20170226115934,3593,80,81,28,40.32,31,28
20170226115935,3589,80,81,28,39.9,31,27
20170226115936,3573,80,81,28,39.9,31,27
20170226115937,3573,80,81,28,39.9,31,27
20170226115938,3577,80,81,28,36.47,31,27
20170226115939,3579,80,81,28,35.980000000000004,31,25
20170226115940,3579,80,81,28,35.980000000000004,30,24
20170226115941,3586,80,81,28,34.79,29,24
20170226115942,3585,80,81,28,34.79,29,24
20170226115944,3585,80,81,28,30.59,27,19
20170226115945,3565,80,81,28,26.740000000000002,26,19
20170226115946,3546,80,81,28,26.740000000000002,26,18
20170226115947,3546,80,81,28,26.11,26,18
20170226115948,3524,79,81,28,26.88,29,18
20170226115949,3531,79,81,28,26.88,29,23
20170226115950,3531,79,81,28,32.2,29,23
20170226115951,3538,79,81,28,32.410000000000004,29,23
20170226115952,3538,79,81,28,32.410000000000004,29,22
20170226115953,3538,79,81,28,32.69,29,23
20170226115954,3533,79,81,28,32.9,29,23
20170226115955,3509,79,81,28,32.9,29,23
20170226115956,3509,79,81,28,32.27,29,23
20170226115957,3494,78,81,28,32.27,29,23
20170226115958,3494,78,81,28,32.27,29,22
20170226115959,3474,78,81,28,31.64,29,22
20170226120000,3476,78,81,28,31.080000000000002,29,23
20170226120001,3476,78,81,28,31.080000000000002,29,22
20170226120002,3465,78,81,28,33.18,29,22
20170226120003,3462,78,81,28,34.160000000000004,29,24
20170226120004,3462,77,82,28,34.160000000000004,29,24
20170226120005,3447,77,82,28,32.9,29,24
20170226120006,3445,77,82,28,33.53,29,25
20170226120008,3445,76,82,28,33.53,29,24
20170226120009,3448,76,81,28,31.64,29,24
20170226120010,3458,77,81,28,31.64,29,23
20170226120011,3458,77,81,28,31.78,29,23
20170226120012,3462,77,81,28,32.9,30,23
20170226120013,3452,77,82,28,32.9,30,26
20170226120014,3452,77,82,28,37.24,31,27
20170226120015,3448,77,82,28,38.99,31,27
20170226120016,3448,77,82,28,38.99,31,29
20170226120017,3439,77,81,28,41.09,32,29
20170226120018,3424,76,81,28,40.32,32,30
20170226120019,3424,76,82,28,40.32,32,30
20170226120020,3421,76,82,28,40.46,32,30
20170226120021,3420,76,82,27,40.46,32,30
20170226120022,3420,76,82,27,40.95,31,27
20170226120023,3416,76,82,27,36.75,31,27
20170226120024,3416,76,82,27,36.75,29,25
20170226120025,3403,76,82,27,34.02,29,25
20170226120026,3405,76,82,27,34.02,29,25
20170226120027,3405,76,82,27,34.58,29,26
20170226120028,3406,76,82,27,38.43,31,26
20170226120029,3406,76,82,27,38.43,31,29
20170226120030,3442,76,82,27,41.230000000000004,32,30
20170226120031,3500,77,82,27,42.28,32,30
20170226120032,3500,78,82,27,42.28,32,29
20170226120033,3563,78,82,27,38.99,31,29
20170226120034,3620,80,82,27,38.99,31,27
20170226120035,3620,80,82,27,39.34,31,27
20170226120036,3665,81,82,28,39.62,31,27
20170226120038,3665,82,82,28,39.62,31,27
20170226120039,3686,82,82,28,39.410000000000004,31,27
20170226120040,3696,82,82,28,41.37,31,27
20170226120041,3696,83,82,28,41.37,31,27
20170226120042,3706,83,82,28,41.37,31,27
20170226120043,3709,83,82,28,36.26,31,26
20170226120044,3709,83,82,28,36.26,29,23
20170226120045,3686,83,82,28,35.42,29,23
20170226120046,3670,82,82,28,35.42,29,24
20170226120047,3670,82,82,28,35.14,29,25
20170226120048,3663,82,82,28,38.15,30,25
20170226120049,3647,81,82,28,38.15,30,26
20170226120050,3647,81,82,28,38.64,30,26
20170226120051,3643,81,82,28,36.47,30,26
20170226120052,3635,81,82,28,36.47,30,25
20170226120053,3635,81,82,28,36.75,30,25
20170226120054,3621,81,82,28,36.75,30,25
20170226120055,3614,81,83,28,36.75,30,25
20170226120056,3614,81,83,28,36.75,30,25
20170226120057,3617,81,83,28,36.68,30,25
20170226120058,3610,81,83,28,36.68,30,25
20170226120059,3610,81,83,28,36.47,30,25
20170226120100,3610,80,83,28,36.19,30,25
20170226120102,3619,81,83,28,36.19,30,25
20170226120103,3619,81,83,28,36.12,30,25
20170226120104,3618,81,83,28,36.61,30,25
20170226120105,3610,81,83,28,36.61,30,26
20170226120106,3610,81,83,28,38.15,30,26
20170226120107,3606,81,83,28,38.71,30,26
20170226120108,3601,80,83,27,38.71,30,26
20170226120109,3601,80,83,27,38.85,30,26
20170226120110,3600,80,83,27,38.15,30,26
20170226120111,3594,80,83,28,36.75,30,25
20170226120112,3594,80,83,27,36.75,30,25
20170226120113,3594,80,83,27,36.12,30,25
20170226120114,3601,80,83,28,36.75,30,25
20170226120115,3601,80,83,28,36.75,30,25
20170226120116,3597,80,83,28,36.26,30,25
20170226120117,3597,80,83,28,36.4,30,25
20170226120118,3597,80,83,28,36.4,30,25
20170226120119,3601,80,83,28,36.75,30,25
20170226120120,3601,80,83,28,36.75,30,25
20170226120121,3601,80,83,28,36.68,30,25
20170226120122,3597,80,83,28,36.12,30,25
20170226120124,3599,80,83,28,36.12,30,25
20170226120125,3599,80,83,28,36.12,30,25
20170226120126,3595,80,83,28,37.24,30,25
20170226120127,3595,80,83,27,37.24,30,26
20170226120128,3589,80,83,27,38.01,30,26
20170226120129,3591,80,83,27,38.29,30,26
20170226120130,3591,80,83,27,38.29,30,26
20170226120131,3591,80,83,27,37.59,30,25
20170226120132,3589,80,83,27,36.54,30,25
